campus,teachers,pct_begin,pct_1to5,pct_6to10,pct_11to20,pct_over20,avg_yrs_exp,avg_yrs_dist,stud_per_tchr,tchr_sal,admin_sal
'057903003,4.5,0,22.4,0,32.7,44.9,17.6,12.4,14.1,66035,98720
'057903005,17,5.9,41.2,11.8,23.5,17.6,11.1,10.1,4.4,59459,92642
'057903006,124.3,10.9,30.4,20.9,23.4,14.3,10.2,6.8,15.5,59045,89985
'057903007,62.2,7,31.5,30.4,21.4,9.6,8.9,5.4,14.1,58027,94643
'057903008,,,,,,,,,,,
'057903009,,,,,,,,,,,
'057903010,14,0,28.6,21.3,28.6,21.5,12.6,6.7,23.6,58617,111734
'057903041,70.1,18.2,30.2,20.2,24.2,7.1,8.1,5.4,14.3,56029,90374
'057903042,70.1,9.3,28.7,15.7,33,13.4,10.6,7.1,14.7,58115,92141
'057903044,48.7,12.3,32,20.5,26.9,8.2,8.9,5.3,12.8,57456,92008
'057903045,63.9,14.7,18,28.2,25.1,14.1,9.6,8,15.2,58213,95743
'057903046,70.2,10.7,37.5,15.5,29.2,7.1,8.5,5.1,15.1,56712,82997
'057903047,45.8,4.7,34,24.2,28.4,8.7,9.7,6.3,15,58018,89177
'057903102,36,4.2,38,8.3,27.3,22.3,12.4,8.6,16.4,59064,82536
'057903103,38,15.8,34.2,18.4,31.6,0,6.8,5.2,15.3,55239,85310
'057903105,34,8.8,23.5,29.4,26.5,11.8,10.1,7.8,15.5,57154,84536
'057903106,44.5,12.4,42.7,4.5,33.7,6.7,8.3,7,16.7,56506,82757
'057903109,35.5,4.2,36.6,19.7,22.5,16.9,10.7,9.1,15.5,57997,87576
'057903110,29,0,31,13.8,37.9,17.2,12.3,9.5,14.4,58108,101411
'057903111,35,22.8,48.6,14.3,14.3,0,4.6,2.7,15.5,53127,84347
'057903112,26,0,46.2,11.5,42.3,0,8.6,7.3,15.8,56406,97217
'057903113,33.1,5.4,40.2,24.2,21.2,9.1,8.6,4.7,16.2,56541,88973
'057903114,29,6.9,10.3,10.3,51.7,20.7,14.7,11.5,15.2,59957,86697
'057903116,31.8,8.8,47.2,6.3,22,15.7,10,8.5,14.3,57430,89310
'057903117,9.5,0,0,0,79,21,16.7,10.9,1.6,61753,122993
'057903118,27,3.7,14.8,11.1,51.9,18.5,15.1,12.6,16.5,60260,99801
'057903120,35,2.9,54.3,17.1,20,5.7,7.2,5.7,15.7,55915,84688
'057903121,21,4.8,42.9,23.8,23.8,4.8,7.8,6,16,56153,85702
'057903122,26,0,30.8,11.5,42.3,15.4,12.5,8.9,14.5,58112,104899
'057903123,23,0,43.5,26.1,21.7,8.7,8.7,6,15.5,56437,80199
'057903124,33,15.2,27.3,12.1,33.3,12.1,10.2,6.7,14.4,55243,82655
'057903125,53.7,5.6,33,24.2,27.9,9.3,9.5,5.7,14.1,56516,79458
'057903126,24,4,33.4,20.9,41.7,0,9.3,7.2,13.8,56831,99588
'057903128,33,6.1,48.5,24.2,15.1,6.1,7.8,5.5,19.1,55560,90758
'057903129,39.8,4.5,60.3,10.1,17.6,7.5,7.2,4.1,14.8,55512,81461
'057903131,36.5,4.1,38.4,5.5,38.4,13.7,11.5,9.7,15.2,58263,84026
'057903132,42.8,7,46.5,14,27.8,4.7,7.7,4.2,17.6,55464,92484
'057903135,45,11.1,42.2,20,22.2,4.4,7.4,5.8,13.6,55855,78881
'057904001,107,5.4,27,27,29,11.5,10.3,4.1,15.7,58999,80814
'057904002,33.6,13.7,37.5,19.3,21.8,7.7,9.2,2.9,17.1,55992,85455
'057904003,13.5,7.4,60.8,9.7,7.4,14.8,7.1,3.7,29.7,56422,79800
'057904041,50.2,4,39.9,23.5,26.7,6,8.9,5,16.3,55679,74647
'057904042,50.4,13.9,45.3,19.8,19.1,2,6.2,2.9,15.4,55348,80638
'057904043,16.5,12.2,65.4,22.4,0,0,3.8,1.5,18.4,53310,
'057904101,18.6,0,22.5,44.1,28,5.4,10.1,6.1,14.7,55493,82267
'057904102,31.6,6.3,38,14.5,34.8,6.3,9.9,5.4,18.4,55294,76834
'057904104,27,25.9,33.3,7.4,33.3,0,6.5,2.9,17.3,54409,65512
'057904105,36.7,0,38.2,26.9,26.7,8.2,9.3,3,16.6,54915,74855
'057904107,33,3,36.4,18.2,30.3,12.1,10.2,4.1,17.1,55898,65241
'057904108,24.9,4,48.1,27.8,16,4,7.1,4.2,13.1,55101,66310
'057904110,27.6,3.6,49.3,14.5,25.3,7.2,8.5,4.5,17.5,54880,79126
'057905001,130.4,13.8,46.9,12.3,19.4,7.7,7.4,5.5,15.5,55132,73526
'057905002,90,13.3,45.5,16.7,21.1,3.3,6.6,4.2,16.4,55116,76855
'057905003,23.1,4.3,60.6,4.8,26,4.3,7.3,5,15.7,55196,74208
